LookupType|LookupCode|Meaning|Description|EnabledFlag|DisplaySequence|Tag
WSC_AHCS_APPLICATION_LOV|EBS AP GROUP1|EBS AP GROUP1|GROUP1|Y|1|EBS AP
WSC_AHCS_APPLICATION_LOV|EBS AR GROUP1|EBS AR GROUP1|GROUP1|Y|2|EBS AR
WSC_AHCS_APPLICATION_LOV|EBS FA GROUP1|EBS FA GROUP1|GROUP1|Y|3|EBS FA
WSC_AHCS_APPLICATION_LOV|ERP POC GROUP1|ERP POC GROUP1|GROUP1|Y|4|ERP POC
WSC_AHCS_APPLICATION_LOV|CENTRAL GROUP1|CENTRAL GROUP1|GROUP1|Y|5|Central
WSC_AHCS_APPLICATION_LOV|LEASES GROUP2|LEASES GROUP2|GROUP2|Y|6|LEASES
WSC_AHCS_APPLICATION_LOV|PS FA GROUP2|PS FA GROUP2|GROUP2|Y|7|PS FA
WSC_AHCS_APPLICATION_LOV|SXEUS GROUP2|SXEUS GROUP2|GROUP2|Y|8|SXEUS
WSC_AHCS_APPLICATION_LOV|ECLPS GROUP2|ECLPS GROUP2|GROUP2|Y|9|ECLPS
WSC_AHCS_APPLICATION_LOV|CloudPay GROUP2|CloudPay GROUP2|GROUP2|Y|10|CloudPay
WSC_AHCS_APPLICATION_LOV|APS TREASURY GROUP2|APS TREASURY GROUP2|GROUP2|Y|11|APS TREASURY
WSC_AHCS_APPLICATION_LOV|Oracle LSI GROUP2|Oracle LSI GROUP2|GROUP2|Y|12|Oracle LSI
WSC_AHCS_APPLICATION_LOV|CONCUR GROUP2|CONCUR GROUP2|GROUP2|Y|13|CONCUR
WSC_AHCS_APPLICATION_LOV|APS TREASURY All|APS TREASURY All|All|Y|14|APS TREASURY
WSC_AHCS_APPLICATION_LOV|CONCUR All|CONCUR All|All|Y|15|CONCUR
WSC_AHCS_APPLICATION_LOV|Central All|Central All|All|Y|16|Central
WSC_AHCS_APPLICATION_LOV|CloudPay All|CloudPay All|All|Y|17|CloudPay
WSC_AHCS_APPLICATION_LOV|EBS AP All|EBS AP All|All|Y|18|EBS AP
WSC_AHCS_APPLICATION_LOV|EBS AR All|EBS AR All|All|Y|19|EBS AR
WSC_AHCS_APPLICATION_LOV|EBS FA All|EBS FA All|All|Y|20|EBS FA
WSC_AHCS_APPLICATION_LOV|ECLPS All|ECLPS All|All|Y|21|ECLPS
WSC_AHCS_APPLICATION_LOV|ERP POC All|ERP POC All|All|Y|22|ERP POC
WSC_AHCS_APPLICATION_LOV|LEASES All|LEASES All|All|Y|23|LEASES
WSC_AHCS_APPLICATION_LOV|MF AP All|MF AP All|All|Y|24|MF AP
WSC_AHCS_APPLICATION_LOV|MF AR All|MF AR All|All|Y|25|MF AR
WSC_AHCS_APPLICATION_LOV|MF INVENTORY All|MF INVENTORY All|All|Y|26|MF INVENTORY
WSC_AHCS_APPLICATION_LOV|ORACLE LSI All|ORACLE LSI All|All|Y|27|ORACLE LSI
WSC_AHCS_APPLICATION_LOV|PS FA All|PS FA All|All|Y|28|PS FA
WSC_AHCS_APPLICATION_LOV|SXEUS All|SXEUS All|All|Y|29|SXEUS
WSC_AHCS_APPLICATION_LOV|EBS AP|EBS AP|EBS AP|Y|30|EBS AP
WSC_AHCS_APPLICATION_LOV|EBS AR|EBS AR|EBS AR|Y|31|EBS AR
WSC_AHCS_APPLICATION_LOV|EBS FA|EBS FA|EBS FA|Y|32|EBS FA
WSC_AHCS_APPLICATION_LOV|ERP POC|ERP POC|ERP POC|Y|33|ERP POC
WSC_AHCS_APPLICATION_LOV|CENTRAL|CENTRAL|CENTRAL|Y|34|CENTRAL
WSC_AHCS_APPLICATION_LOV|LEASES|LEASES|LEASES|Y|35|LEASES
WSC_AHCS_APPLICATION_LOV|PS FA|PS FA|PS FA|Y|36|PS FA
WSC_AHCS_APPLICATION_LOV|SXEUS|SXEUS|SXEUS|Y|37|SXEUS
WSC_AHCS_APPLICATION_LOV|ECLPS|ECLPS|ECLPS|Y|38|ECLPS
WSC_AHCS_APPLICATION_LOV|CloudPay|CloudPay|CloudPay|Y|39|CloudPay
WSC_AHCS_APPLICATION_LOV|APS TREASURY|APS TREASURY|APS TREASURY|Y|40|APS TREASURY
WSC_AHCS_APPLICATION_LOV|MF AP|MF AP|MF AP|Y|41|MF AP
WSC_AHCS_APPLICATION_LOV|MF AR|MF AR|MF AR|Y|42|MF AR
WSC_AHCS_APPLICATION_LOV|MF INVENTORY|MF INVENTORY|MF INVENTORY|Y|43|MF INVENTORY
WSC_AHCS_APPLICATION_LOV|Oracle LSI|Oracle LSI|ORACLE LSI|Y|44|ORACLE LSI
WSC_AHCS_APPLICATION_LOV|CONCUR|CONCUR|CONCUR|Y|45|CONCUR
WSC_AHCS_APPLICATION_LOV|MF AP GROUP3|MF AP GROUP3|GROUP3|Y|46|MF AP
WSC_AHCS_APPLICATION_LOV|MF AR GROUP3|MF AR GROUP3|GROUP3|Y|47|MF AR
WSC_AHCS_APPLICATION_LOV|MF INVENTORY GROUP3|MF INVENTORY GROUP3|GROUP3|Y|48|MF INVENTORY
